,Importance
age,0.09789011418134967
sgd_2000_to_2999_percent,0.054458813995957984
below_sgd_1000_percent,0.04880868651501232
sgd_1000_to_1999_percent,0.046652613947336136
below_sgd_1000,0.042201752848981436
jan_competitor_visits,0.040667025903242913
oct_competitor_visits,0.034625234679567345
data_download_2020_Feb,0.03287190091442871
nov_competitor_visits,0.03154010123195954
mar_competitor_visits,0.026082910466984615
Jan_singtel,0.02539532555087203
Mar_starhub,0.024753755139925927
customer_since,0.023404693889434176
feb_competitor_visits,0.023249096954632203
Nov_singtel,0.022873525481649823
Nov_starhub,0.022405256116955666
Oct_singtel,0.0196219844892374
dec_competitor_visits,0.019095563187722844
Feb_starhub,0.01550147535806212
Jan_starhub,0.015008456383933498
